Error Code(s),Type,Title (EN),Description (EN),中文說明
12022~12040 (14個),Warn,Failed to update Kachaka software,,軟體更新失敗，請重啟後重試
"12023, 12024, 12025",Fatal,Failed to update Kachaka software,The update package could not be downloaded. Please restart Cachaca and try again.,軟體更新失敗，下載失敗，請檢查網路
"12026, 12027",Fatal,Failed to update Kachaka software,The update package could not be downloaded. Please check your internet connection and try again later.,軟體更新失敗，下載失敗，請檢查網路
12041,Warn,Failed to update Kachaka software,Restart it with the power button.,軟體更新失敗，請重啟後重試
12110~15201 (15個),Error,An error has occurred,Please try again.,發生錯誤，請重試
"12115, 12116, 12117, 12118",Error,Map export failed,Please try again.,Map export failed
12119~12126 (7個),Error,Map import failed,Please try again. The file may be damaged.,Map import failed
12124,Error,Map import failed,"There is already a map of the same ID. If you want to continue the import, delete the existing map and try it again.",Map import failed
12127,Error,Map import failed,Please try again.,Map import failed
12304,Error,Outdated date or time,An invalid date and time was entered. Please specify a date and time after the current one.,Outdated date or time — An invalid date and time was entered. Please specify a date 
12305,Error,Invalid date or time,An invalid date and time was entered. Please specify a date and time after the current one.,Invalid date or time — An invalid date and time was entered. Please specify a date 
"12306, 12307",Bug,The schedule is not found,The specified schedule does not exist.,The schedule is not found — The specified schedule does not exist.
"12308, 12309, 12310",Error,Internal clock is not synchronized,The schedule function is disabled because the time is incorrect. You can enable it by restarting Kachaka and synchronizing with the time server on the internet.,Internal clock is not synchronized — The schedule function is disabled because the time is incorr
12401,Warn,Cannot activate the manual operation,Please press the power button to resume from the pause state and try again.,Cannot activate the manual operation — Please press the power button to resume from the pause state
"12501, 12502, 12503",Bug,Internal communication error,"If the problem persists after restarting Kachaka, please contact the customer service center.","Internal communication error — If the problem persists after restarting Kachaka, please con"
"12504, 12505",Bug,Internal Request Error,"If the problem persists after restarting Kachaka, please contact the customer service center.","Internal Request Error — If the problem persists after restarting Kachaka, please con"
12506,Bug,Failed to edit the shortcut,"The specified shortcut is not found. Please try restarting Kachaka app. If the problem persists, please contact the customer service center.",Failed to edit the shortcut
12507,Bug,Failed to delete the shortcut,"The specified shortcut is not found. Please try restarting Kachaka app. If the problem persists, please contact the customer service center.",Failed to delete the shortcut
12508,Warn,The number of shortcuts is exceeded the limit,,The number of shortcuts is exceeded the limit
"12509, 14109",Bug,Internal error,Please try again.,內部錯誤（SDK bug）
12601,Error,Invalid QR Code,,Invalid QR Code
12602,Error,Failed to find a QR code,"Please bring the QR code closer to the camera, about 10 cm away.",Failed to find a QR code
12603,Error,Internal error,Please try again after restarting Kachaka.,內部錯誤（SDK bug）
12604,Error,Failed to get IP address,Please check your router settings.,Failed to get IP address
"12605, 12608, 12902, 13135",Bug,Internal error,"If the problem persists after restarting Kachaka, please contact the customer service center.",內部錯誤（SDK bug）
12606,Error,Failed to connect to Wi-Fi,Please try again.,Failed to connect to Wi-Fi
12607,Error,Incorrect password,Please enter the correct password and try again.,Incorrect password — Please enter the correct password and try again.
12609,Error,Not connected to the Internet,Please check if your router is connected to the internet.,Not connected to the Internet — Please check if your router is connected to the internet.
12610~13165 (10個),Error,Internal error,"If the problem persists after restarting Kachaka, please contact the customer service center.",內部錯誤（SDK bug）
12611~14401 (15個),Error,Internal error,Please try again.,內部錯誤（SDK bug）
12612,Error,Failed to restart Kachaka,Restart Cachaca.,Failed to restart Kachaka
12701~12735 (24個),Warn,Failed to set the value,,Failed to set the value
"12722, 12723, 12724, 12725, 12726",Fatal,Failed to start or stop Playground,Please restart Kachaka and try again.,Failed to start or stop Playground
12727,Error,Failed to enable or disable the local API,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to enable or disable the local API
12728,Warn,Failed to enable or disable the local API,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to enable or disable the local API
"12729, 12730",Error,Failed to set the IDX communication settings,Please restart Kachaka and try again.,Failed to set the IDX communication settings
"12731, 12732",Warn,Failed to set the IDX communication settings,Please restart Kachaka and try again.,Failed to set the IDX communication settings
"12736, 12738",Error,Failed to set locale,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to set locale
"12737, 12739",Error,Failed to set timezone,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to set timezone
12740~12777 (29個),Error,Failed to set the value,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to set the value
12746~12775 (8個),Warn,Failed to set the value,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to set the value
12752,Warn,Failed to pause or resume the voice recognition,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to pause or resume the voice recognition
12801~12816 (14個),Fatal,Failed to delete Kachaca,Please restart Kachaka and try again.,Failed to delete Kachaca
12807,Warn,Internal error,Failed to restart Kachaka. Please press and hold the power button to turn off the power.,內部錯誤（SDK bug）
12815,Error,Internal error,Please check the Internet connection and try it again after a while.,內部錯誤（SDK bug）
"12817, 12818, 12819, 12820, 12821",Fatal,Failed to delete Playground,Please restart Kachaka and try again.,Failed to delete Playground
"12822, 12823, 12824, 12825, 12826",Fatal,Disabling remote support failed,Please restart Kachaka and try again.,Disabling remote support failed
12827,Warn,Internal error,Emergency stop failed. Please try again.,內部錯誤（SDK bug）
12828,Fatal,カチャカの削除に失敗しました,カチャカを再起動して、もう一度お試しください。,カチャカの削除に失敗しました — カチャカを再起動して、もう一度お試しください。
12901,Warn,Failed to add a destination,The current position of the destination is too close to walls and obstacles. Please move the position a little more away from these objects.,Failed to add a destination — 可能有障礙物
"12903, 12904",Error,Failed to edit the shelf,Please try again.,Failed to edit the shelf
12905,Warn,Failed to edit the shelf,Please try again.,Failed to edit the shelf
12906,Warn,Failed to edit the shelf,The current position of the destination is too close to walls and obstacles. Please move the position a little more away from these objects.,Failed to edit the shelf — 可能有障礙物
"12907, 12908, 12909",Error,Failed to edit the area,Please try again.,Failed to edit the area
"12910, 12911",Warn,Failed to edit the name,The name is too long. Please enter a shorter name.,Failed to edit the name
12912,Warn,Failed to add a destination,The name is already in use.,Failed to add a destination
12913,Error,Failed to register furniture home,Please try again.,Failed to register furniture home
12914,Error,Failed to register furniture,Please try again.,Failed to register furniture
12915,Warn,Name could not be edited,This is a destination whose name cannot be edited.,Name could not be edited — This is a destination whose name cannot be edited.
12916,Warn,Could not set,Please try again.,Could not set — Please try again.
12917,Warn,Could not delete,This is a destination that cannot be deleted.,Could not delete — This is a destination that cannot be deleted.
12918,Warn,Furniture deletion failed,Please try again.,Furniture deletion failed
12919,Warn,Furniture editing failed,Please try again.,Furniture editing failed
12920,Warn,Failed to add furniture,Please try again.,Failed to add furniture
12921,Warn,There is an unknown furniture ID,Please try again.,There is an unknown furniture ID — Please try again.
"13001, 13153, 13154, 14312, 14313",Error,Internal error,,內部錯誤（SDK bug）
13002,Warn,Internal error,,內部錯誤（SDK bug）
13003,Warn,Another task is running,,Another task is running
13004,Ignore,{action_name} has been canceled,,{action_name} has been canceled
"13005, 13151, 13152",Ignore,Internal error,,內部錯誤（SDK bug）
13101~13317 (81個),Error,Internal communication error,"If the problem persists after restarting Kachaka, please contact the customer service center.","Internal communication error — If the problem persists after restarting Kachaka, please con"
13157~14905 (14個),Error,Internal communication error,Please try again.,Internal communication error — Please try again.
"13172, 13174, 13175, 13176, 13179",Error,Failed to execute a task,Invalid request has been detected. Please update Kachaka and app to the latest version and try it again.,Failed to execute a task
"13185, 13187, 13189, 13192",Error,Failed to export a map,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to export a map
"13186, 13188, 13190, 13191, 13193",Error,Failed to import a map,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to import a map
13198,Error,Failed to start updating Kachaka software,Invalid request has been detected. Please update app to the latest version and try it again.,軟體更新失敗，請重啟後重試
"13201, 13202, 13203",Bug,Failed to execute a task,Invalid request has been detected. Please update Kachaka and app to the latest version and try it again.,Failed to execute a task
13204~14301 (34個),Error,Internal communication error,"Please try again. If the problem persists after restarting Kachaka, please contact the customer service center.",Internal communication error — Please try again. If the problem persists after restarting K
13207~13282 (38個),Error,Failed to execute a task,"Please try again after a while. If the problem persists, please restart Kachaka.",Failed to execute a task
"13208, 13209",Error,Failed to execute a task,The robot is in a state that does not accept the remote control. Please try again after a while.,Failed to execute a task
13210,Ignore,Invalid command,Invalid request has been detected. Please update Kachaka and app to the latest version and try it again.,Invalid command — Invalid request has been detected. Please update Kachaka and
"13211, 13212, 13213, 13214",Error,Invalid command,Invalid request has been detected. Please update Kachaka and app to the latest version and try it again.,Invalid command — Invalid request has been detected. Please update Kachaka and
13259,Error,実行に失敗しました,しばらくしてからもう一度お試しください。直らない場合は再起動してください。,実行に失敗しました — しばらくしてからもう一度お試しください。直らない場合は再起動してください。
"13283, 13284",Bug,Failed to execute a task,,Failed to execute a task
13285,Error,Execution failed,"Please try again after a while. If the problem persists, please restart Kachaka.",Execution failed
"13286, 13290",Error,Execution failed,"Please check your internet connection and try again later. If the problem persists, please restart Kachaka.",Execution failed
13287~13293 (6個),Error,Execution failed,Please check your internet connection and try again later.,Execution failed
13302,Error,Failed to set volume,An out-of-range setting value was entered. Please check the setting value and try again.,Failed to set volume
13303,Error,Failed to set carefulness of movement,An out-of-range setting value was entered. Please check the setting value and try again.,Failed to set carefulness of movement
13304,Error,Failed to set movement speed,An out-of-range setting value was entered. Please check the setting value and try again.,Failed to set movement speed
13311,Error,Size limit error,"If the problem persists after restarting Kachaka, please contact the customer service center.","Size limit error — If the problem persists after restarting Kachaka, please con"
13318,Warn,Wi-Fi setup failed,"If the problem persists after restarting Kachaka, please contact the customer service center.",Wi-Fi setup failed
"13319, 13330, 13331",Warn,Internal communication error,"If the problem persists after restarting Kachaka, please contact the customer service center.","Internal communication error — If the problem persists after restarting Kachaka, please con"
13324,Error,Execution failed,Please try again.,Execution failed
"14001, 14004",Error,Failed to add a routine,Please try again.,Failed to add a routine
"14002, 14003",Error,Routine not found,The specified routine does not exist.,Routine not found — The specified routine does not exist.
14101~14206 (9個),Error,Failed to execute a task,Please try again.,Failed to execute a task
"14102, 14202, 14204",Bug,Failed to execute a task,Please try again.,Failed to execute a task
14110,Ignore,Cancelled,,Cancelled
14113,Warn,一時停止しています,電源ボタンを押して解除してください。,一時停止しています — 電源ボタンを押して解除してください。
14114,Error,エラーが発生しました,もう一度お試しください,エラーが発生しました — もう一度お試しください
14205,Ignore,Failed to execute a task,,Failed to execute a task
"14207, 14208",Ignore,Failed to move the task,,移動失敗
14209,Warn,Running item cannot be moved,,Running item cannot be moved
14314,Error,Voice command is not set,,Voice command is not set
"14315, 14316, 14317",Error,Disabled triggers,,Disabled triggers
14319,Error,Failed to set time trigger,The date and time set is in the past. Please set a date and time that is at least one minute in the future.,Failed to set time trigger
14320,Error,Failed to set time trigger,Please select one or more days of the week.,Failed to set time trigger
14402,Error,File size is too large,,File size is too large
14403,Error,Insufficient disk space,,Insufficient disk space
"14404, 14405",Error,The specified sound is not found,,The specified sound is not found
14406,Error,Unsupported file format,,Unsupported file format
"14407, 14408",Error,Failed to save the file,The file may be corrupted. Please check and try again.,地圖儲存失敗，請重試
14409,Error,プリセット音源を編集することはできません,,プリセット音源を編集することはできません
14410,Error,プリセット音源を削除することはできません,,プリセット音源を削除することはできません
14451,Error,指定した音源は存在しません,もう一度お試しください。,指定した音源は存在しません — もう一度お試しください。
14501,Error,Failed to retrieve information,"Please try again. If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to retrieve information
14601,Error,No furniture is registered,,No furniture is registered
"14602, 14603",Error,Failed to put back the shelf,,Failed to put back the shelf
14604,Error,Failed to charge,,充電失敗
14605,Error,Furniture cannot be placed on the charging dock,,Furniture cannot be placed on the charging dock
14607,Error,Failed to get away from the shelf,,無法離開傢俱，請確認周圍空間足夠
"14701, 14801",Error,内部通信エラー,,内部通信エラー
"14702, 14703, 14705, 14706",Error,実行に失敗しました,,実行に失敗しました
14704,Error,"Some unreachable waypoints, or start or goal location.",開始点／目的点／経由点のいずれかに、カチャカが到達できない地点があります。,"Some unreachable waypoints, or start or goal location. — 開始点／目的点／経由点のいずれかに、カチャカが到達できない地点があります。"
14707,Error,"You need to modify start/goal location, or some waypoints properly.",走行ルートの再作成に失敗しました。目的地または走行ルート設定の経由点を適切な位置に変更して下さい。,"You need to modify start/goal location, or some waypoints properly. — 走行ルートの再作成に失敗しました。目的地または走行ルート設定の経由点を適切な位置に変更して下さい。"
14802,Error,"Some unreachable waypoints, or start or goal location.",開始点／目的地点／経由点のいずれかに、カチャカが到達できない地点があります。,"Some unreachable waypoints, or start or goal location. — 開始点／目的地点／経由点のいずれかに、カチャカが到達できない地点があります。"
14803,Error,地点が削除されました,地点が削除され走行ルートを設定できなくなりました。同時に操作してるアプリがないか確認してください。,地点が削除されました — 地点が削除され走行ルートを設定できなくなりました。同時に操作してるアプリがないか確認してください。
14804,Error,Unreachable from the start location to the goal location.,開始点から目的地点へカチャカが到達できません。,Unreachable from the start location to the goal location. — 開始点から目的地点へカチャカが到達できません。
14805,Error,The waypoint is unreachable.,経由点にカチャカが到達できません。,The waypoint is unreachable. — 経由点にカチャカが到達できません。
14806,Error,No driving route found between the two points. modify the points and retry.,2点間の経路を作成できません。障害物や禁止エリアで塞がれないよう適切な位置に端点を置いてください。,No driving route found between the two points. modify the points and retry. — 2点間の経路を作成できません。障害物や禁止エリアで塞がれないよう適切な位置に端点を置いてください。
15104,Error,Server is busy,Please try again.,Server is busy — Please try again.
15106,Error,An error has occurred,"Please try again. If it fails repeatedly, check your internet connection, restart your console, and then try again.",發生錯誤，需重新啟動機器人
"15109, 15113",Error,Software update required,Please check for updates to your Cachaca software and try again.,Software update required — Please check for updates to your Cachaca software and try ag
15112,Error,Server is busy,please try again.,Server is busy — please try again.
"15115, 15502, 15506",Error,エラーが発生しました,もう一度お試しください。,エラーが発生しました — もう一度お試しください。
15501,Error,うまく動けませんでした,Check that there are no obstacles around.,うまく動けませんでした — Check that there are no obstacles around.
"15503, 15505",Error,うまく動けませんでした,まわりに障害物がないか確認してください。,うまく動けませんでした — まわりに障害物がないか確認してください。
15504,Error,充電ドックから離れられませんでした,まわりに障害物がないか確認してください。,充電ドックから離れられませんでした — まわりに障害物がないか確認してください。
"15507, 15508",Error,パラメータが不正です,設定を確認して、もう一度お試しください,パラメータが不正です — 設定を確認して、もう一度お試しください
15602,Error,Couldn't load furniture,Please try again.,Couldn't load furniture — Please try again.
15603,Error,Failed to obtain self-location,Please try again.,Failed to obtain self-location
15604,Error,The furniture came off,Please try again.,The furniture came off — Please try again.
15701,Error,There is no specified floor plan,Please try again.,There is no specified floor plan — Please try again.
"15801, 15802",Error,An error has occurred,Please check your settings and try again,發生錯誤，請重試
15803,Error,This feature is not available,This function is not supported by the version of Cachaca you are using.,This feature is not available — This function is not supported by the version of Cachaca you
15804,Warn,Wi-Fi setup is already running,,Wi-Fi setup is already running
"15901, 15902",Error,Internal communication error,"Please try again. If restarting does not resolve the issue, please contact our customer service center.","Internal communication error — Please try again. If restarting does not resolve the issue, "
15903,Error,Configuration failed,Please try again.,Configuration failed
15904,Error,設定に失敗しました,もう一度お試しください。,設定に失敗しました — もう一度お試しください。
"19001, 19002",Warn,Failed to move to the destination,Please check if there are any obstacles around Kachaka.,移動失敗，路徑上有障礙物
19003,Error,{shelf} has come off,Please try again.,{shelf} has come off — Please try again.
19004,Warn,Failed to move to the destination,Kachaka stops here because an obstacle is at the destination.,移動失敗，路徑上有障礙物
20100,Warn,Internal clock is not synchronized,The time synchronization failed at startup. Some functions such as the schedule function are disabled. Please reboot in a state where Kachaka can connect to the internet and set the time correctly. (Time synchronization is done automatically when Kachaka starts up with an access to the internet.),Internal clock is not synchronized — The time synchronization failed at startup. Some functions s
